review_id,date,platform,rating,review_text
1,2024-01-15,Amazon,5,"This product is amazing! Fast delivery and excellent quality. Highly recommend!"
2,2024-01-16,Trendyol,1,"Kargo çok geç geldi, ürün bozuktu. Müşteri hizmetleri yardımcı olmadı. Rezalet!"
3,2024-01-17,Amazon,3,"Average product, nothing special. Price is reasonable though."
4,2024-01-18,Hepsiburada,2,"Ürün kalitesi çok kötü, kısa sürede bozuldu. İade etmek istiyorum ama süreç karmaşık."
5,2024-01-19,Amazon,4,"Good customer service, they resolved my issue quickly."
6,2024-01-20,Trendyol,1,"Aldatmaca! Reklamda gösterildiği gibi değil. Dolandırıldım hissi yaşıyorum."
7,2024-01-21,Amazon,5,"Perfect! Exactly what I needed. Will buy again."
8,2024-01-22,Hepsiburada,1,"Ödeme sistemi çalışmıyor, saatlerdir bekliyorum. Uygulama berbat!"
9,2024-01-23,Amazon,2,"Shipping took forever, very disappointed."
10,2024-01-24,Trendyol,4,"Fiyat uygun, ürün güzel ama kargo yavaş."
11,2024-01-25,Hepsiburada,1,"Müşteri hizmetleri hiç yardımcı olmadı. Şikayetçi olacağım."
12,2024-01-26,Amazon,5,"Outstanding service and product quality!"
13,2024-01-27,Trendyol,3,"Ortalama bir deneyim. Ne iyi ne kötü."
14,2024-01-28,Hepsiburada,1,"Ürün geldiğinde kırılmıştı. İade süreci zor."
15,2024-01-29,Amazon,4,"Decent product, but packaging could be better."
16,2024-01-30,Trendyol,1,"Dava açacağım! Bu kadar kötü hizmet görmedim."
17,2024-01-31,Hepsiburada,2,"Fiyat çok yüksek, değmez."
18,2024-02-01,Amazon,5,"Love this! Best purchase ever."
19,2024-02-02,Trendyol,1,"Kargo kayboldu, kimse bilgi vermiyor. Mağdur oldum."
20,2024-02-03,Hepsiburada,3,"Ürün iyi ama teslimat geç."
21,2024-02-04,Amazon,2,"Customer service was rude and unhelpful."
22,2024-02-05,Trendyol,4,"Kalite güzel, tavsiye ederim."
23,2024-02-06,Hepsiburada,1,"Uygulama sürekli çöküyor, kullanamıyorum."
24,2024-02-07,Amazon,5,"Excellent quality and fast shipping!"
25,2024-02-08,Trendyol,1,"Şikayet var! Ürün sahte çıktı."
26,2024-02-09,Hepsiburada,2,"İade etmek istedim ama kabul etmediler."
27,2024-02-10,Amazon,3,"Okay product, meets basic expectations."
28,2024-02-11,Trendyol,4,"Müşteri hizmetleri iyi, sorunumu çözdüler."
29,2024-02-12,Hepsiburada,1,"Rezalet bir deneyim! Bir daha asla."
30,2024-02-13,Amazon,5,"Highly satisfied with everything!"
